dataset,depth,split,nrow,method,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma,time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
ctmc,2,1,1104,FlowOCT,0,0.54,0.5,3600,2,-267.5,0,541.092778,0,0.518115942,0.486413043,0.45799458,0.563981043,0.520361991,0.525,4056,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.56,0.5,3600,2,-267.5,0,388.433569,0,0.518115942,0.486413043,0.45799458,0.563981043,0.520361991,0.525,3841,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.58,0.5,3600,2,-268,0,423.069876,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,5914,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.6,0.5,3600,2,-268,0,436.554003,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,3660,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.62,0.5,3600,2,-268,0,641.9135568,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,5228,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.64,0.5,3600,2,-268,0,549.8118322,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,5867,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.66,0.5,3600,2,-268,0,515.186058,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,5101,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.68,0.5,3600,2,-268,0,544.1779659,0,0.517210145,0.502717391,0.498644986,0.696319018,0.650485437,0.646551724,3400,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.7,0.5,3600,2,-287,0,590.398093,0,0.482789855,0.47826087,0.47696477,0.700404858,0.641975309,0.674157303,5575,0,0,0,0
ctmc,2,1,1104,FlowOCT,0,0.72,0.5,3600,2,-304.5,0,609.736414,0,0.451086957,0.453804348,0.406504065,0.759689922,0.8,0.652173913,9518,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.54,0.5,3600,2,-264.5,0,460.687856,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,4298,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.56,0.5,3600,2,-264.5,0,463.9928908,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,3927,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.58,0.5,3600,2,-264.5,0,576.2830141,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,3480,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.6,0.5,3600,2,-264.5,0,590.2307699,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,5163,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.62,0.5,3600,2,-264.5,0,527.7228131,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,3613,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.64,0.5,3600,2,-264.5,0,694.9086118,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,4444,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.66,0.5,3600,2,-264.5,0,585.820889,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,5665,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.68,0.5,3600,2,-264.5,0,540.6635978,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,3499,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.7,0.5,3600,2,-288,0,952.0574169,0,0.480978261,0.5,0.43902439,0.702422145,0.726315789,0.658823529,10676,0,0,0,0
ctmc,2,2,1104,FlowOCT,0,0.72,0.5,3600,2,-304.5,0,552.6541009,0,0.451086957,0.445652174,0.390243902,0.748148148,0.744186047,0.675,8755,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.54,0.8,3600,2,-111.2,0,549.6341119,0,0.503623188,0.513586957,0.514905149,0.614285714,0.59602649,0.605633803,5304,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.56,0.8,3600,2,-111.2,0,525.1002769,0,0.503623188,0.513586957,0.514905149,0.614285714,0.59602649,0.605633803,4389,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.58,0.8,3600,2,-111.2,0,548.144726,0,0.503623188,0.513586957,0.514905149,0.614285714,0.59602649,0.605633803,4393,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.6,0.8,3600,2,-111.2,0,616.6174099,0,0.503623188,0.513586957,0.514905149,0.614285714,0.59602649,0.605633803,3441,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.62,0.8,3600,2,-111.6,0,585.257333,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,4235,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.64,0.8,3600,2,-111.6,0,529.6965051,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,3694,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.66,0.8,3600,2,-111.6,0,682.647409,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,5818,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.68,0.8,3600,2,-111.6,0,496.054563,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,5688,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.7,0.8,3600,2,-120.8,0,646.2554619,0,0.463768116,0.489130435,0.452574526,0.706382979,0.707865169,0.6625,7244,0,0,0,0
ctmc,2,3,1104,FlowOCT,0,0.72,0.8,3600,2,-123.4,0,490.9505961,0,0.451992754,0.475543478,0.430894309,0.724867725,0.739726027,0.701754386,8838,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.54,0.1,3600,2,-485.4,0,578.854964,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5598,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.56,0.1,3600,2,-485.4,0,583.6626189,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5859,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.58,0.1,3600,2,-485.4,0,544.2857649,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5634,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.6,0.1,3600,2,-485.4,0,630.7868578,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5894,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.62,0.1,3600,2,-485.4,0,514.1903479,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,6436,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.64,0.1,3600,2,-485.4,0,774.2664869,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,7142,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.66,0.1,3600,2,-485.4,0,622.2850399,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5863,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.68,0.1,3600,2,-485.4,0,636.0498309,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,5206,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.7,0.1,3600,2,-532.2,0,502.4279649,0,0.464673913,0.491847826,0.449864499,0.708860759,0.75,0.653846154,10226,0,0,0,0
ctmc,2,4,1104,FlowOCT,0,0.72,0.1,3600,2,-548.4,0,655.279119,0,0.448369565,0.486413043,0.414634146,0.736842105,0.844444444,0.714285714,8891,0,0,0,0
ctmc,3,1,1104,FlowOCT,0,0.64,0.8,3600,9,-105.4,0,3600.527574,0.977229602,0.54076087,0.529891304,0.490514905,0.690909091,0.639097744,0.611940299,1099,0,0,0,0
ctmc,3,1,1104,FlowOCT,0,0.66,0.8,3600,9,-107.8,0,3600.231174,0.977736549,0.529891304,0.527173913,0.487804878,0.703927492,0.660377358,0.655172414,298,0,0,0,0
ctmc,3,1,1104,FlowOCT,0,0.68,0.8,3600,9,-104.6,0,3600.320204,0.977055449,0.54076087,0.529891304,0.490514905,0.690909091,0.639097744,0.611940299,1333,0,0,0,0
